method,doctor,dice,iou
stage1_full_pred,A,0.3738844320178032,0.2570103319982688
stage1_full_pred,B,0.4141598840554555,0.2632455031077067
stage1_full_pred,C,0.07903055881272292,0.044829647092129145
stage1_full_pred,D,0.06244211830198765,0.03286823149149617
stage2_gt_crop_oracle,A,0.27338973867396515,0.17151343418906131
stage2_gt_crop_oracle,B,0.38973471025625867,0.25556794305642444
stage2_gt_crop_oracle,C,0.17113594262308865,0.11511962660657359
stage2_gt_crop_oracle,D,0.2651904026667277,0.1612587347626686
stage2_predicted_crop,A,0.20684190100587185,0.12395408755696591
stage2_predicted_crop,B,0.3867468386888504,0.25134726117054623
stage2_predicted_crop,C,0.20042143041313673,0.1393238019761541
stage2_predicted_crop,D,0.28740475078423816,0.1754543607433637
