i,kind,mask_type,intensity_gap
0,synthetic,real_mask,-0.04366949200630188
1,synthetic,real_mask,0.049139171838760376
2,synthetic,real_mask,0.025874555110931396
3,synthetic,real_mask,0.07017123699188232
4,synthetic,real_mask,-0.0287398099899292
5,synthetic,real_mask,-0.01587238907814026
6,synthetic,real_mask,-0.027857482433319092
7,synthetic,real_mask,-0.0108623206615448
8,synthetic,perturbed,-0.018193721771240234
9,synthetic,perturbed,-0.02097436413168907
10,synthetic,perturbed,0.014059707522392273
11,synthetic,perturbed,-0.19628825783729553
12,synthetic,perturbed,0.021086707711219788
13,synthetic,perturbed,0.02335980534553528
14,synthetic,perturbed,-0.15815600752830505
15,synthetic,perturbed,0.007519036531448364
0,real,real_mask,-0.03347080945968628
1,real,real_mask,0.01339709758758545
2,real,real_mask,-0.02172859013080597
3,real,real_mask,0.0011048614978790283
4,real,real_mask,-0.016148030757904053
5,real,real_mask,-0.010801255702972412
6,real,real_mask,-0.03347080945968628
7,real,real_mask,-0.05149397253990173
8,real,perturbed,0.10952363908290863
9,real,perturbed,-0.03347080945968628
10,real,perturbed,-0.06844821572303772
11,real,perturbed,0.016571715474128723
12,real,perturbed,-0.06526030600070953
13,real,perturbed,-0.06493255496025085
14,real,perturbed,-0.07169641554355621
15,real,perturbed,0.018775194883346558
